Run #1	Run #1	Run #1	Run #1	Run #1
Time (s)	Counts (counts/sample)	Temperature (°C)	Temperature (°C)	
0,000		29,2	23,4	
10,000	1	29,3	23,4	
20,000	0	29,4	23,3	
30,000	1	29,5	23,3	
40,000	0	29,7	23,2	
50,000	1	29,8	23,1	
60,000	1	30,0	23,0	
70,000	0	30,1	22,9	
80,000	1	30,3	22,7	
90,000	1	30,5	22,5	
100,000	0	30,6	22,3	
110,000	1	30,8	22,2	
120,000	1	31,0	22,0	
130,000	0	31,1	21,9	
140,000	1	31,3	21,6	
150,000	1	31,5	21,4	
160,000	0	31,6	21,2	
170,000	1	31,8	21,1	
180,000	1	32,0	20,8	
190,000	0	32,2	20,6	
200,000	1	32,3	20,5	
210,000	1	32,5	20,2	
220,000	0	32,7	20,1	
230,000	1	32,9	20,0	
240,000	1	33,1	19,8	
250,000	2	33,2	19,6	
260,000	0	33,4	19,4	
270,000	1	33,6	19,2	
280,000	1	33,8	19,0	
290,000	0	34,0	18,9	
300,000	1	34,1	18,7	
310,000	1	34,3	18,5	
320,000	1	34,5	18,3	
330,000	0	34,7	18,1	
340,000	1	34,8	17,9	
350,000	1	35,0	17,8	
360,000	0	35,2	17,5	
370,000	1	35,4	17,4	
380,000	1	35,5	17,2	
390,000	1	35,7	17,0	
400,000	0	35,9	16,8	
410,000	1	36,1	16,6	
420,000	1	36,2	16,4	
430,000	1	36,4	16,3	
440,000	0	36,6	16,1	
450,000	1	36,8	16,0	
460,000	1	36,9	15,7	
470,000	0	37,1	15,6	
480,000	1	37,3	15,4	
490,000	1	37,5	15,3	
500,000	1	37,6	15,1	
510,000	0	37,8	14,9	
520,000	1	37,9	14,7	
530,000	1	38,1	14,6	
540,000	1	38,3	14,4	
550,000	0	38,4	14,3	
560,000	1	38,6	14,1	
570,000	1	38,8	14,0	
580,000	1	38,9	13,8	
590,000	0	39,1	13,7	
600,000	1	39,3	13,5	
610,000	1	39,4	13,4	
620,000	1	39,6	13,2	
630,000	0	39,7	13,2	
640,000	1	39,9	12,9	
650,000	1	40,0	12,8	
660,000	0	40,2	12,6	
670,000	1	40,4	12,5	
680,000	1	40,5	12,3	
690,000	1	40,7	12,2	
700,000	0	40,8	12,1	
710,000	1	41,0	12,0	
720,000	1	41,1	11,9	
730,000	1	41,2	11,7	
740,000	0	41,4	11,6	
750,000	1	41,6	11,4	
760,000	1	41,7	11,2	
770,000	1	41,9	11,1	
780,000	0	42,0	11,0	
790,000	1	42,2	10,9	
800,000	1	42,3	10,8	
810,000	1	42,5	10,6	
820,000	0	42,6	10,5	
830,000	1	42,7	10,4	
840,000	1	42,9	10,3	
850,000	1	43,0	10,2	
860,000	0	43,1	10,1	
870,000	1	43,3	9,9	
880,000	1	43,5	9,8	
890,000	1	43,6	9,7	
900,000	0	43,7	9,6	
910,000	1	43,8	9,5	
920,000	1	44,0	9,3	
930,000	1	44,1	9,2	
940,000	0	44,3	9,1	
950,000	1	44,4	9,1	
960,000	1	44,5	9,0	
970,000	1	44,7	8,8	
980,000	0	44,8	8,8	
990,000	1	44,9	8,7	
1000,000	1	45,0	8,6	
1010,000	0	45,2	8,5	
1020,000	1	45,3	8,3	
1030,000	1	45,4	8,3	
1040,000	1	45,5	8,2	
1050,000	0	45,6	8,1	
1060,000	1	45,8	8,1	
1070,000	1	45,9	7,9	
1080,000	1	46,0	7,9	
1090,000	0	46,1	7,7	
1100,000	1	46,2	7,6	
1110,000	1	46,4	7,6	
1120,000	1	46,5	7,5	
1130,000	0	46,6	7,4	
1140,000	1	46,7	7,3	
1150,000	1	46,8	7,3	
1160,000	0	46,9	7,2	
1170,000	1	47,1	7,1	
1180,000	1	47,2	7,0	
1190,000	1	47,3	6,9	
1200,000	0	47,4	6,8	
1210,000	1	47,5	6,8	
1220,000	1	47,6	6,8	
1230,000	0	47,7	6,6	
1240,000	1	47,8	6,6	
1250,000	1	47,9	6,5	
1260,000	1	48,0	6,4	
1270,000	0	48,1	6,3	
1280,000	1	48,2	6,3	
1290,000	1	48,3	6,3	
1300,000	0	48,5	6,2	
1310,000	1	48,5	6,1	
1320,000	2	48,6	6,1	
1330,000	1	48,7	6,0	
1340,000	0	48,8	5,9	
1350,000	1	48,9	5,8	
1360,000	1	49,0	5,8	
